,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y,jerk_expected
399,602.0,1335.0,533.0,1540.0,403.0,1217.0,661.0,1182.0,462.0,1418.0,612.0,1399.0,1454,1868,589,1337,3453,2526,0
400,600.0,1335.0,537.0,1540.0,401.0,1219.0,661.0,1179.0,463.0,1419.0,616.0,1398.0,1456,1877,589,1337,3681,2663,0
401,603.0,1331.0,540.0,1540.0,405.0,1215.0,662.0,1179.0,463.0,1418.0,616.0,1398.0,1464,1836,592,1333,3733,2722,0
402,601.0,1335.0,535.0,1537.0,403.0,1219.0,659.0,1182.0,463.0,1417.0,614.0,1397.0,1429,1859,588,1336,3438,2458,0
403,600.0,1334.0,539.0,1544.0,401.0,1218.0,661.0,1178.0,463.0,1421.0,618.0,1399.0,1484,1865,591,1336,3855,2806,0
404,599.0,1335.0,531.0,1540.0,403.0,1218.0,658.0,1183.0,462.0,1417.0,609.0,1399.0,1447,1852,588,1337,3213,2317,0
405,600.0,1334.0,530.0,1537.0,404.0,1218.0,658.0,1185.0,461.0,1416.0,608.0,1398.0,1416,1845,587,1336,3210,2309,0
406,598.0,1334.0,530.0,1537.0,401.0,1217.0,659.0,1183.0,459.0,1416.0,609.0,1397.0,1419,1868,585,1336,3465,2531,0
407,597.0,1325.0,530.0,1541.0,406.0,1212.0,655.0,1182.0,459.0,1416.0,605.0,1399.0,1449,1773,587,1330,3168,2313,0
408,599.0,1328.0,529.0,1538.0,407.0,1213.0,654.0,1184.0,460.0,1415.0,605.0,1398.0,1435,1783,587,1332,2998,2164,0
409,599.0,1328.0,530.0,1539.0,407.0,1213.0,655.0,1182.0,460.0,1417.0,605.0,1399.0,1453,1790,589,1332,2963,2136,0
410,601.0,1326.0,530.0,1540.0,408.0,1212.0,659.0,1181.0,460.0,1417.0,606.0,1398.0,1461,1808,590,1332,3054,2229,0
411,599.0,1327.0,530.0,1537.0,406.0,1212.0,654.0,1181.0,459.0,1413.0,606.0,1395.0,1446,1797,588,1330,2989,2142,0
412,597.0,1329.0,525.0,1534.0,404.0,1214.0,650.0,1187.0,458.0,1411.0,602.0,1396.0,1392,1777,583,1331,2977,2127,0
413,595.0,1323.0,525.0,1538.0,404.0,1210.0,648.0,1182.0,456.0,1414.0,601.0,1397.0,1437,1745,584,1328,2906,2095,0
414,592.0,1324.0,526.0,1537.0,400.0,1211.0,648.0,1181.0,454.0,1413.0,602.0,1396.0,1422,1759,581,1328,3182,2295,0
415,589.0,1321.0,522.0,1537.0,398.0,1211.0,646.0,1182.0,453.0,1413.0,599.0,1397.0,1400,1735,578,1327,3235,2342,0
416,591.0,1320.0,522.0,1536.0,400.0,1207.0,646.0,1178.0,451.0,1415.0,595.0,1396.0,1444,1745,581,1326,2821,2033,0
417,589.0,1322.0,520.0,1537.0,399.0,1210.0,644.0,1181.0,450.0,1413.0,595.0,1396.0,1424,1750,578,1328,2848,2048,0
418,591.0,1324.0,523.0,1535.0,397.0,1212.0,646.0,1181.0,452.0,1411.0,599.0,1394.0,1406,1769,578,1328,3086,2204,0
419,588.0,1323.0,518.0,1533.0,395.0,1213.0,640.0,1185.0,450.0,1410.0,595.0,1395.0,1364,1729,574,1327,3021,2145,0
420,587.0,1326.0,518.0,1537.0,394.0,1215.0,644.0,1183.0,447.0,1414.0,596.0,1397.0,1391,1785,574,1331,3118,2246,0
421,587.0,1322.0,520.0,1537.0,391.0,1214.0,641.0,1182.0,449.0,1414.0,596.0,1397.0,1384,1731,573,1328,3279,2341,0
422,585.0,1325.0,517.0,1539.0,390.0,1214.0,643.0,1182.0,445.0,1418.0,596.0,1400.0,1394,1771,572,1331,3441,2517,0
423,587.0,1324.0,519.0,1539.0,391.0,1214.0,643.0,1182.0,446.0,1416.0,599.0,1398.0,1392,1765,573,1330,3522,2567,0
424,583.0,1323.0,514.0,1537.0,388.0,1213.0,639.0,1183.0,443.0,1415.0,592.0,1398.0,1375,1748,569,1329,3319,2412,0
425,580.0,1321.0,512.0,1533.0,386.0,1213.0,634.0,1184.0,442.0,1411.0,589.0,1395.0,1341,1720,565,1326,3205,2285,0
426,579.0,1321.0,511.0,1535.0,388.0,1212.0,634.0,1185.0,442.0,1412.0,588.0,1396.0,1353,1716,566,1327,3098,2225,0
427,579.0,1320.0,512.0,1534.0,386.0,1212.0,633.0,1183.0,441.0,1411.0,589.0,1394.0,1353,1717,565,1326,3156,2248,0
428,580.0,1323.0,512.0,1537.0,387.0,1213.0,635.0,1184.0,441.0,1414.0,590.0,1397.0,1369,1736,567,1328,3185,2297,0
429,580.0,1322.0,511.0,1537.0,387.0,1213.0,634.0,1185.0,441.0,1413.0,589.0,1397.0,1361,1723,566,1328,3164,2282,0
430,578.0,1322.0,511.0,1537.0,384.0,1212.0,635.0,1183.0,439.0,1414.0,589.0,1397.0,1364,1737,565,1328,3402,2477,0
431,578.0,1321.0,510.0,1535.0,383.0,1212.0,635.0,1183.0,439.0,1413.0,588.0,1396.0,1348,1736,564,1327,3427,2491,0
432,577.0,1323.0,508.0,1535.0,382.0,1212.0,632.0,1185.0,438.0,1411.0,586.0,1396.0,1345,1732,562,1327,3307,2403,0
433,578.0,1322.0,510.0,1534.0,383.0,1212.0,631.0,1185.0,439.0,1412.0,586.0,1396.0,1344,1711,563,1326,3219,2309,0
434,578.0,1326.0,509.0,1538.0,384.0,1214.0,635.0,1186.0,438.0,1413.0,589.0,1396.0,1358,1770,564,1331,3326,2433,0
435,578.0,1326.0,510.0,1536.0,383.0,1213.0,634.0,1185.0,438.0,1413.0,589.0,1396.0,1356,1760,564,1330,3363,2450,0
436,579.0,1326.0,511.0,1537.0,384.0,1213.0,636.0,1184.0,439.0,1413.0,590.0,1396.0,1369,1772,565,1330,3356,2451,0
437,580.0,1325.0,512.0,1536.0,383.0,1212.0,635.0,1183.0,440.0,1412.0,591.0,1395.0,1370,1759,565,1328,3406,2475,0
