,nosetip_x,nosetip_y,chin_x,chin_y,left_eye_corner_x,left_eye_corner_y,right_eye_corner_x,right_eye_corner_y,left_mouth_corner_x,left_mouth_corner_y,right_mouth_corner_x,right_mouth_corner_y,nose_end_point_x,nose_end_point_y,head_pose1_x,head_pose1_y,head_pose2_x,head_pose2_y,jerk_expected
146,453.0,1113.0,482.0,1260.0,421.0,1043.0,568.0,1053.0,440.0,1174.0,532.0,1180.0,67,1198,456,1121,-2077,6494,0
147,454.0,1112.0,483.0,1262.0,423.0,1044.0,569.0,1054.0,441.0,1175.0,533.0,1181.0,66,1190,457,1121,-2325,6933,0
148,455.0,1112.0,483.0,1262.0,424.0,1043.0,570.0,1054.0,442.0,1175.0,534.0,1181.0,63,1191,458,1121,-2402,7004,0
149,456.0,1110.0,483.0,1262.0,424.0,1043.0,570.0,1054.0,441.0,1175.0,533.0,1181.0,68,1185,458,1120,-2390,7019,0
150,457.0,1112.0,484.0,1261.0,425.0,1044.0,570.0,1054.0,443.0,1174.0,536.0,1180.0,73,1193,459,1121,-2038,6279,0
151,457.0,1111.0,485.0,1262.0,426.0,1043.0,572.0,1054.0,443.0,1175.0,535.0,1181.0,67,1187,460,1121,-2417,7042,0
152,458.0,1111.0,486.0,1263.0,427.0,1045.0,571.0,1054.0,445.0,1176.0,537.0,1181.0,67,1188,460,1121,-2334,6715,0
153,457.0,1112.0,486.0,1261.0,427.0,1043.0,572.0,1054.0,444.0,1175.0,535.0,1181.0,65,1192,460,1121,-2200,6368,0
154,459.0,1111.0,487.0,1263.0,428.0,1044.0,573.0,1054.0,445.0,1176.0,537.0,1181.0,66,1187,461,1121,-2438,6955,0
155,458.0,1112.0,487.0,1260.0,429.0,1043.0,572.0,1055.0,445.0,1175.0,536.0,1181.0,68,1193,461,1121,-1992,5799,0
156,460.0,1112.0,488.0,1263.0,428.0,1044.0,574.0,1054.0,446.0,1175.0,540.0,1181.0,72,1195,462,1122,-2287,7024,0
157,461.0,1110.0,488.0,1261.0,430.0,1043.0,574.0,1054.0,447.0,1174.0,538.0,1180.0,71,1188,463,1120,-2110,6120,0
158,462.0,1110.0,489.0,1262.0,430.0,1044.0,575.0,1053.0,448.0,1174.0,540.0,1180.0,73,1187,464,1120,-2251,6622,0
159,463.0,1108.0,488.0,1261.0,432.0,1043.0,576.0,1054.0,448.0,1173.0,540.0,1179.0,79,1177,465,1119,-2184,6292,0
160,464.0,1107.0,489.0,1261.0,432.0,1043.0,577.0,1052.0,450.0,1172.0,541.0,1178.0,77,1175,466,1118,-2317,6597,0
